_id,MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
1442,Verkehrsunfälle,insgesamt,2023,202303,3684,3316,34.31,11.1,3374
1443,Verkehrsunfälle,insgesamt,2023,202304,3290,3118,-10.69,5.52,3389
1444,Verkehrsunfälle,insgesamt,2023,202305,3700,3845,12.46,-3.77,3377
1445,Verkehrsunfälle,insgesamt,2023,202306,3678,3434,-0.59,7.11,3397
1446,Verkehrsunfälle,insgesamt,2023,202307,3896,3809,5.93,2.28,3404
1447,Verkehrsunfälle,insgesamt,2023,202308,2837,3005,-27.18,-5.59,3390
1448,Verkehrsunfälle,insgesamt,2023,202309,3733,3620,31.58,3.12,3400
1449,Verkehrsunfälle,insgesamt,2023,202310,3869,3823,3.64,1.2,3403
1450,Verkehrsunfälle,insgesamt,2023,202311,3566,3541,-7.83,0.71,3406
1451,Verkehrsunfälle,insgesamt,2023,202312,3325,3008,-6.76,10.54,3432
1452,Verkehrsunfälle,insgesamt,2022,Summe,39863,37972,NA,4.98,NA
1453,Verkehrsunfälle,insgesamt,2022,202201,2603,2149,-13.03,21.13,3202
1454,Verkehrsunfälle,insgesamt,2022,202202,2741,2252,5.3,21.71,3243
1455,Verkehrsunfälle,insgesamt,2022,202203,3316,3130,20.98,5.94,3258
1456,Verkehrsunfälle,insgesamt,2022,202204,3118,2901,-5.97,7.48,3277
1457,Verkehrsunfälle,insgesamt,2022,202205,3845,3194,23.32,20.38,3331
1458,Verkehrsunfälle,insgesamt,2022,202206,3434,3786,-10.69,-9.3,3301
1459,Verkehrsunfälle,insgesamt,2022,202207,3809,3905,10.92,-2.46,3293
1460,Verkehrsunfälle,insgesamt,2022,202208,3005,2852,-21.11,5.36,3306
1461,Verkehrsunfälle,insgesamt,2022,202209,3620,3650,20.47,-0.82,3304
1462,Verkehrsunfälle,insgesamt,2022,202210,3823,3857,5.61,-0.88,3301
1463,Verkehrsunfälle,insgesamt,2022,202211,3541,3303,-7.38,7.21,3321
1464,Verkehrsunfälle,insgesamt,2022,202212,3008,2993,-15.05,0.5,3322
1465,Verkehrsunfälle,insgesamt,2021,Summe,37972,38434,NA,-1.2,NA
1466,Verkehrsunfälle,insgesamt,2021,202101,2149,3139,-19.24,-31.54,3120
1467,Verkehrsunfälle,insgesamt,2021,202102,2252,3271,4.79,-31.15,3035
1468,Verkehrsunfälle,insgesamt,2021,202103,3130,2825,38.99,10.8,3061
1469,Verkehrsunfälle,insgesamt,2021,202104,2901,2251,-7.32,28.88,3115
1470,Verkehrsunfälle,insgesamt,2021,202105,3194,3193,10.1,0.03,3115
1471,Verkehrsunfälle,insgesamt,2021,202106,3786,3380,18.53,12.01,3149
1472,Verkehrsunfälle,insgesamt,2021,202107,3905,4031,3.14,-3.13,3138
1473,Verkehrsunfälle,insgesamt,2021,202108,2852,3007,-26.97,-5.15,3126
1474,Verkehrsunfälle,insgesamt,2021,202109,3650,3659,27.98,-0.25,3125
1475,Verkehrsunfälle,insgesamt,2021,202110,3857,3867,5.67,-0.26,3124
1476,Verkehrsunfälle,insgesamt,2021,202111,3303,3150,-14.36,4.86,3137
1477,Verkehrsunfälle,insgesamt,2021,202112,2993,2661,-9.39,12.48,3164
1478,Verkehrsunfälle,insgesamt,2020,Summe,38434,46010,NA,-16.47,NA
1479,Verkehrsunfälle,insgesamt,2020,202001,3139,3440,-9.33,-8.75,3809
1480,Verkehrsunfälle,insgesamt,2020,202002,3271,3442,4.21,-4.97,3795
1481,Verkehrsunfälle,insgesamt,2020,202003,2825,3940,-13.63,-28.3,3702
1482,Verkehrsunfälle,insgesamt,2020,202004,2251,3781,-20.32,-40.47,3574
1483,Verkehrsunfälle,insgesamt,2020,202005,3193,4046,41.85,-21.08,3503
1484,Verkehrsunfälle,insgesamt,2020,202006,3380,3727,5.86,-9.31,3474
1485,Verkehrsunfälle,insgesamt,2020,202007,4031,4763,19.26,-15.37,3413
1486,Verkehrsunfälle,insgesamt,2020,202008,3007,3214,-25.4,-6.44,3396
1487,Verkehrsunfälle,insgesamt,2020,202009,3659,4042,21.68,-9.48,3364
1488,Verkehrsunfälle,insgesamt,2020,202010,3867,4348,5.68,-11.06,3324
1489,Verkehrsunfälle,insgesamt,2020,202011,3150,3805,-18.54,-17.21,3270
1490,Verkehrsunfälle,insgesamt,2020,202012,2661,3462,-15.52,-23.14,3203
1491,Verkehrsunfälle,insgesamt,2019,Summe,46010,46408,NA,-0.86,NA
1492,Verkehrsunfälle,insgesamt,2019,201901,3440,3328,-3.1,3.37,3877
1493,Verkehrsunfälle,insgesamt,2019,201902,3442,3109,0.06,10.71,3904
1494,Verkehrsunfälle,insgesamt,2019,201903,3940,3796,14.47,3.79,3916
1495,Verkehrsunfälle,insgesamt,2019,201904,3781,4016,-4.04,-5.85,3897
1496,Verkehrsunfälle,insgesamt,2019,201905,4046,3953,7.01,2.35,3905
1497,Verkehrsunfälle,insgesamt,2019,201906,3727,4284,-7.88,-13,3858
1498,Verkehrsunfälle,insgesamt,2019,201907,4763,4547,27.8,4.75,3876
1499,Verkehrsunfälle,insgesamt,2019,201908,3214,3206,-32.52,0.25,3877
1500,Verkehrsunfälle,insgesamt,2019,201909,4042,4124,25.76,-1.99,3870
1501,Verkehrsunfälle,insgesamt,2019,201910,4348,4468,7.57,-2.69,3860
1502,Verkehrsunfälle,insgesamt,2019,201911,3805,4027,-12.49,-5.51,3842
1503,Verkehrsunfälle,insgesamt,2019,201912,3462,3550,-9.01,-2.48,3834
1504,Verkehrsunfälle,insgesamt,2018,Summe,46408,45454,NA,2.1,NA
1505,Verkehrsunfälle,insgesamt,2018,201801,3328,3320,-4.75,0.24,3789
1506,Verkehrsunfälle,insgesamt,2018,201802,3109,3223,-6.58,-3.54,3779
1507,Verkehrsunfälle,insgesamt,2018,201803,3796,4106,22.1,-7.55,3753
1508,Verkehrsunfälle,insgesamt,2018,201804,4016,3533,5.8,13.67,3793
1509,Verkehrsunfälle,insgesamt,2018,201805,3953,4314,-1.57,-8.37,3763
1510,Verkehrsunfälle,insgesamt,2018,201806,4284,3818,8.37,12.21,3802
1511,Verkehrsunfälle,insgesamt,2018,201807,4547,4355,6.14,4.41,3818
1512,Verkehrsunfälle,insgesamt,2018,201808,3206,3267,-29.49,-1.87,3813
1513,Verkehrsunfälle,insgesamt,2018,201809,4124,4017,28.63,2.66,3822
1514,Verkehrsunfälle,insgesamt,2018,201810,4468,4198,8.34,6.43,3845
1515,Verkehrsunfälle,insgesamt,2018,201811,4027,3809,-9.87,5.72,3863
1516,Verkehrsunfälle,insgesamt,2018,201812,3550,3494,-11.85,1.6,3867
1517,Verkehrsunfälle,insgesamt,2017,Summe,45454,46797,NA,-2.87,NA
1518,Verkehrsunfälle,insgesamt,2017,201701,3320,3297,-10.27,0.7,3902
1519,Verkehrsunfälle,insgesamt,2017,201702,3223,3383,-2.92,-4.73,3888
1520,Verkehrsunfälle,insgesamt,2017,201703,4106,3653,27.4,12.4,3926
1521,Verkehrsunfälle,insgesamt,2017,201704,3533,4209,-13.96,-16.06,3870
1522,Verkehrsunfälle,insgesamt,2017,201705,4314,3833,22.11,12.55,3910
1523,Verkehrsunfälle,insgesamt,2017,201706,3818,4260,-11.5,-10.38,3873
1524,Verkehrsunfälle,insgesamt,2017,201707,4355,4478,14.06,-2.75,3863
1525,Verkehrsunfälle,insgesamt,2017,201708,3267,3400,-24.98,-3.91,3852
1526,Verkehrsunfälle,insgesamt,2017,201709,4017,4289,22.96,-6.34,3829
1527,Verkehrsunfälle,insgesamt,2017,201710,4198,4297,4.51,-2.3,3821
1528,Verkehrsunfälle,insgesamt,2017,201711,3809,3998,-9.27,-4.73,3805
1529,Verkehrsunfälle,insgesamt,2017,201712,3494,3700,-8.27,-5.57,3788
1530,Verkehrsunfälle,insgesamt,2016,Summe,46797,46635,NA,0.35,NA
1531,Verkehrsunfälle,insgesamt,2016,201601,3297,3326,-14.63,-0.87,3884
1532,Verkehrsunfälle,insgesamt,2016,201602,3383,3090,2.61,9.48,3908
1533,Verkehrsunfälle,insgesamt,2016,201603,3653,3888,7.98,-6.04,3889
1534,Verkehrsunfälle,insgesamt,2016,201604,4209,4022,15.22,4.65,3904
1535,Verkehrsunfälle,insgesamt,2016,201605,3833,3915,-8.93,-2.09,3897
1536,Verkehrsunfälle,insgesamt,2016,201606,4260,3898,11.14,9.29,3928
1537,Verkehrsunfälle,insgesamt,2016,201607,4478,4729,5.12,-5.31,3907
1538,Verkehrsunfälle,insgesamt,2016,201608,3400,3431,-24.07,-0.9,3904
1539,Verkehrsunfälle,insgesamt,2016,201609,4289,4015,26.15,6.82,3927
1540,Verkehrsunfälle,insgesamt,2016,201610,4297,4467,0.19,-3.81,3913
1541,Verkehrsunfälle,insgesamt,2016,201611,3998,3992,-6.96,0.15,3913
1542,Verkehrsunfälle,insgesamt,2016,201612,3700,3862,-7.45,-4.19,3900
1543,Verkehrsunfälle,insgesamt,2015,Summe,46635,46804,NA,-0.36,NA
1544,Verkehrsunfälle,insgesamt,2015,201501,3326,3410,-15.13,-2.46,3893
1545,Verkehrsunfälle,insgesamt,2015,201502,3090,3315,-7.1,-6.79,3875
1546,Verkehrsunfälle,insgesamt,2015,201503,3888,4027,25.83,-3.45,3863
1547,Verkehrsunfälle,insgesamt,2015,201504,4022,3840,3.45,4.74,3878
1548,Verkehrsunfälle,insgesamt,2015,201505,3915,4346,-2.66,-9.92,3842
1549,Verkehrsunfälle,insgesamt,2015,201506,3898,3833,-0.43,1.7,3848
1550,Verkehrsunfälle,insgesamt,2015,201507,4729,4443,21.32,6.44,3872
1551,Verkehrsunfälle,insgesamt,2015,201508,3431,3379,-27.45,1.54,3876
1552,Verkehrsunfälle,insgesamt,2015,201509,4015,4137,17.02,-2.95,3866
1553,Verkehrsunfälle,insgesamt,2015,201510,4467,4251,11.26,5.08,3884
1554,Verkehrsunfälle,insgesamt,2015,201511,3992,3904,-10.63,2.25,3891
1555,Verkehrsunfälle,insgesamt,2015,201512,3862,3919,-3.26,-1.45,3886
1556,Verkehrsunfälle,insgesamt,2014,Summe,46804,46988,NA,-0.39,NA
1557,Verkehrsunfälle,insgesamt,2014,201401,3410,3316,-9.4,2.83,3924
1558,Verkehrsunfälle,insgesamt,2014,201402,3315,3467,-2.79,-4.38,3911
1559,Verkehrsunfälle,insgesamt,2014,201403,4027,3712,21.48,8.49,3937
1560,Verkehrsunfälle,insgesamt,2014,201404,3840,4008,-4.64,-4.19,3923
1561,Verkehrsunfälle,insgesamt,2014,201405,4346,3703,13.18,17.36,3977
1562,Verkehrsunfälle,insgesamt,2014,201406,3833,4284,-11.8,-10.53,3939
1563,Verkehrsunfälle,insgesamt,2014,201407,4443,4641,15.91,-4.27,3923
1564,Verkehrsunfälle,insgesamt,2014,201408,3379,3387,-23.95,-0.24,3922
1565,Verkehrsunfälle,insgesamt,2014,201409,4137,4130,22.43,0.17,3923
1566,Verkehrsunfälle,insgesamt,2014,201410,4251,4533,2.76,-6.22,3899
1567,Verkehrsunfälle,insgesamt,2014,201411,3904,4043,-8.16,-3.44,3887
1568,Verkehrsunfälle,insgesamt,2014,201412,3919,3764,0.38,4.12,3900
1569,Verkehrsunfälle,insgesamt,2013,Summe,46988,44891,NA,4.67,NA
1570,Verkehrsunfälle,insgesamt,2013,201301,3316,3176,-2.33,4.41,3753
1571,Verkehrsunfälle,insgesamt,2013,201302,3467,3102,4.55,11.77,3783
1572,Verkehrsunfälle,insgesamt,2013,201303,3712,3739,7.07,-0.72,3781
1573,Verkehrsunfälle,insgesamt,2013,201304,4008,3667,7.97,9.3,3809
1574,Verkehrsunfälle,insgesamt,2013,201305,3703,4114,-7.61,-9.99,3775
1575,Verkehrsunfälle,insgesamt,2013,201306,4284,4018,15.69,6.62,3797
1576,Verkehrsunfälle,insgesamt,2013,201307,4641,4281,8.33,8.41,3827
1577,Verkehrsunfälle,insgesamt,2013,201308,3387,3452,-27.02,-1.88,3822
1578,Verkehrsunfälle,insgesamt,2013,201309,4130,3962,21.94,4.24,3836
1579,Verkehrsunfälle,insgesamt,2013,201310,4533,4146,9.76,9.33,3868
1580,Verkehrsunfälle,insgesamt,2013,201311,4043,3839,-10.81,5.31,3885
1581,Verkehrsunfälle,insgesamt,2013,201312,3764,3395,-6.9,10.87,3916
1582,Verkehrsunfälle,insgesamt,2012,Summe,44891,42114,NA,6.59,NA
1583,Verkehrsunfälle,insgesamt,2012,201201,3176,2775,-9.41,14.45,3543
1584,Verkehrsunfälle,insgesamt,2012,201202,3102,2903,-2.33,6.85,3560
1585,Verkehrsunfälle,insgesamt,2012,201203,3739,3523,20.54,6.13,3578
1586,Verkehrsunfälle,insgesamt,2012,201204,3667,3529,-1.93,3.91,3589
1587,Verkehrsunfälle,insgesamt,2012,201205,4114,4143,12.19,-0.7,3587
1588,Verkehrsunfälle,insgesamt,2012,201206,4018,3212,-2.33,25.09,3654
1589,Verkehrsunfälle,insgesamt,2012,201207,4281,4074,6.55,5.08,3671
1590,Verkehrsunfälle,insgesamt,2012,201208,3452,3322,-19.36,3.91,3682
1591,Verkehrsunfälle,insgesamt,2012,201209,3962,3730,14.77,6.22,3701
1592,Verkehrsunfälle,insgesamt,2012,201210,4146,3830,4.64,8.25,3728
1593,Verkehrsunfälle,insgesamt,2012,201211,3839,3567,-7.4,7.63,3750
1594,Verkehrsunfälle,insgesamt,2012,201212,3395,3506,-11.57,-3.17,3741
1595,Verkehrsunfälle,insgesamt,2011,Summe,42114,37884,NA,11.17,NA
1596,Verkehrsunfälle,insgesamt,2011,201101,2775,2346,-18.69,18.29,3193
1597,Verkehrsunfälle,insgesamt,2011,201102,2903,2539,4.61,14.34,3223
1598,Verkehrsunfälle,insgesamt,2011,201103,3523,3309,21.36,6.47,3241
1599,Verkehrsunfälle,insgesamt,2011,201104,3529,3202,0.17,10.21,3268
1600,Verkehrsunfälle,insgesamt,2011,201105,4143,2974,17.4,39.31,3366
1601,Verkehrsunfälle,insgesamt,2011,201106,3212,3193,-22.47,0.6,3367
1602,Verkehrsunfälle,insgesamt,2011,201107,4074,3712,26.84,9.75,3397
1603,Verkehrsunfälle,insgesamt,2011,201108,3322,2843,-18.46,16.85,3437
1604,Verkehrsunfälle,insgesamt,2011,201109,3730,3524,12.28,5.85,3454
1605,Verkehrsunfälle,insgesamt,2011,201110,3830,3500,2.68,9.43,3482
1606,Verkehrsunfälle,insgesamt,2011,201111,3567,3329,-6.87,7.15,3502
1607,Verkehrsunfälle,insgesamt,2011,201112,3506,3413,-1.71,2.72,3510
1608,Verkehrsunfälle,insgesamt,2010,Summe,37884,37461,NA,1.13,NA
1609,Verkehrsunfälle,insgesamt,2010,201001,2346,2482,-26.73,-5.48,3110
1610,Verkehrsunfälle,insgesamt,2010,201002,2539,3480,8.23,-27.04,3032
1611,Verkehrsunfälle,insgesamt,2010,201003,3309,2744,30.33,20.59,3079
1612,Verkehrsunfälle,insgesamt,2010,201004,3202,2953,-3.23,8.43,3100
1613,Verkehrsunfälle,insgesamt,2010,201005,2974,3240,-7.12,-8.21,3078
1614,Verkehrsunfälle,insgesamt,2010,201006,3193,2876,7.36,11.02,3104
1615,Verkehrsunfälle,insgesamt,2010,201007,3712,3622,16.25,2.48,3112
1616,Verkehrsunfälle,insgesamt,2010,201008,2843,2749,-23.41,3.42,3119
1617,Verkehrsunfälle,insgesamt,2010,201009,3524,3252,23.95,8.36,3142
1618,Verkehrsunfälle,insgesamt,2010,201010,3500,3567,-0.68,-1.88,3137
1619,Verkehrsunfälle,insgesamt,2010,201011,3329,3294,-4.89,1.06,3139
1620,Verkehrsunfälle,insgesamt,2010,201012,3413,3202,2.52,6.59,3157
1621,Verkehrsunfälle,insgesamt,2009,Summe,37461,38362,NA,-2.35,NA
1622,Verkehrsunfälle,insgesamt,2009,200901,2482,2945,-14.06,-15.72,3158
1623,Verkehrsunfälle,insgesamt,2009,200902,3480,3171,40.21,9.74,3184
1624,Verkehrsunfälle,insgesamt,2009,200903,2744,2910,-21.15,-5.7,3170
1625,Verkehrsunfälle,insgesamt,2009,200904,2953,3339,7.62,-11.56,3138
1626,Verkehrsunfälle,insgesamt,2009,200905,3240,3428,9.72,-5.48,3122
1627,Verkehrsunfälle,insgesamt,2009,200906,2876,3374,-11.23,-14.76,3081
1628,Verkehrsunfälle,insgesamt,2009,200907,3622,3500,25.94,3.49,3091
1629,Verkehrsunfälle,insgesamt,2009,200908,2749,2870,-24.1,-4.22,3081
1630,Verkehrsunfälle,insgesamt,2009,200909,3252,3271,18.3,-0.58,3079
1631,Verkehrsunfälle,insgesamt,2009,200910,3567,3683,9.69,-3.15,3070
1632,Verkehrsunfälle,insgesamt,2009,200911,3294,2983,-7.65,10.43,3096
1633,Verkehrsunfälle,insgesamt,2009,200912,3202,2888,-2.79,10.87,3122
1634,Verkehrsunfälle,insgesamt,2008,Summe,38362,38562,NA,-0.52,NA
1635,Verkehrsunfälle,insgesamt,2008,200801,2945,2735,-7.51,7.68,3231
1636,Verkehrsunfälle,insgesamt,2008,200802,3171,2643,7.67,19.98,3275
1637,Verkehrsunfälle,insgesamt,2008,200803,2910,2836,-8.23,2.61,3281
1638,Verkehrsunfälle,insgesamt,2008,200804,3339,3292,14.74,1.43,3285
1639,Verkehrsunfälle,insgesamt,2008,200805,3428,3529,2.67,-2.86,3277
1640,Verkehrsunfälle,insgesamt,2008,200806,3374,3225,-1.58,4.62,3289
1641,Verkehrsunfälle,insgesamt,2008,200807,3500,3622,3.73,-3.37,3279
1642,Verkehrsunfälle,insgesamt,2008,200808,2870,2943,-18,-2.48,3273
1643,Verkehrsunfälle,insgesamt,2008,200809,3271,3414,13.97,-4.19,3261
1644,Verkehrsunfälle,insgesamt,2008,200810,3683,3695,12.6,-0.32,3260
1645,Verkehrsunfälle,insgesamt,2008,200811,2983,3444,-19.01,-13.39,3222
1646,Verkehrsunfälle,insgesamt,2008,200812,2888,3184,-3.18,-9.3,3197
1647,Verkehrsunfälle,insgesamt,2007,Summe,38562,38333,NA,0.6,NA
1648,Verkehrsunfälle,insgesamt,2007,200701,2735,2893,-20.01,-5.46,3181
1649,Verkehrsunfälle,insgesamt,2007,200702,2643,2901,-3.36,-8.89,3160
1650,Verkehrsunfälle,insgesamt,2007,200703,2836,4165,7.3,-31.91,3049
1651,Verkehrsunfälle,insgesamt,2007,200704,3292,2874,16.08,14.54,3084
1652,Verkehrsunfälle,insgesamt,2007,200705,3529,3032,7.2,16.39,3125
1653,Verkehrsunfälle,insgesamt,2007,200706,3225,2853,-8.61,13.04,3156
1654,Verkehrsunfälle,insgesamt,2007,200707,3622,3611,12.31,0.3,3157
1655,Verkehrsunfälle,insgesamt,2007,200708,2943,2993,-18.75,-1.67,3153
1656,Verkehrsunfälle,insgesamt,2007,200709,3414,3233,16,5.6,3168
1657,Verkehrsunfälle,insgesamt,2007,200710,3695,3286,8.23,12.45,3202
1658,Verkehrsunfälle,insgesamt,2007,200711,3444,3073,-6.79,12.07,3233
1659,Verkehrsunfälle,insgesamt,2007,200712,3184,3419,-7.55,-6.87,3214
1660,Verkehrsunfälle,insgesamt,2006,Summe,38333,40723,NA,-5.87,NA
1661,Verkehrsunfälle,insgesamt,2006,200601,2893,2788,-18.48,3.77,3402
1662,Verkehrsunfälle,insgesamt,2006,200602,2901,3461,0.28,-16.18,3356
1663,Verkehrsunfälle,insgesamt,2006,200603,4165,3560,43.57,16.99,3406
1664,Verkehrsunfälle,insgesamt,2006,200604,2874,3320,-31,-13.43,3369
1665,Verkehrsunfälle,insgesamt,2006,200605,3032,3321,5.5,-8.7,3345
1666,Verkehrsunfälle,insgesamt,2006,200606,2853,3499,-5.9,-18.46,3291
1667,Verkehrsunfälle,insgesamt,2006,200607,3611,3631,26.57,-0.55,3289
1668,Verkehrsunfälle,insgesamt,2006,200608,2993,2965,-17.11,0.94,3292
1669,Verkehrsunfälle,insgesamt,2006,200609,3233,3921,8.02,-17.55,3234
1670,Verkehrsunfälle,insgesamt,2006,200610,3286,3503,1.64,-6.19,3216
1671,Verkehrsunfälle,insgesamt,2006,200611,3073,3205,-6.48,-4.12,3205
1672,Verkehrsunfälle,insgesamt,2006,200612,3419,3549,11.26,-3.66,3194
1673,Verkehrsunfälle,insgesamt,2005,Summe,40723,40064,NA,1.64,NA
1674,Verkehrsunfälle,insgesamt,2005,200501,2788,2969,-26.48,-6.1,3324
1675,Verkehrsunfälle,insgesamt,2005,200502,3461,2728,24.14,26.87,3385
1676,Verkehrsunfälle,insgesamt,2005,200503,3560,3271,2.86,8.84,3409
1677,Verkehrsunfälle,insgesamt,2005,200504,3320,3183,-6.74,4.3,3420
1678,Verkehrsunfälle,insgesamt,2005,200505,3321,3378,0.03,-1.69,3415
1679,Verkehrsunfälle,insgesamt,2005,200506,3499,3229,5.36,8.36,3438
1680,Verkehrsunfälle,insgesamt,2005,200507,3631,3760,3.77,-3.43,3427
1681,Verkehrsunfälle,insgesamt,2005,200508,2965,2926,-18.34,1.33,3430
1682,Verkehrsunfälle,insgesamt,2005,200509,3921,3663,32.24,7.04,3452
1683,Verkehrsunfälle,insgesamt,2005,200510,3503,3716,-10.66,-5.73,3434
1684,Verkehrsunfälle,insgesamt,2005,200511,3205,3449,-8.51,-7.07,3414
1685,Verkehrsunfälle,insgesamt,2005,200512,3549,3792,10.73,-6.41,3394
1686,Verkehrsunfälle,insgesamt,2004,Summe,40064,38635,NA,3.7,NA
1687,Verkehrsunfälle,insgesamt,2004,200401,2969,3073,-15.82,-3.38,3211
1688,Verkehrsunfälle,insgesamt,2004,200402,2728,2968,-8.12,-8.09,3191
1689,Verkehrsunfälle,insgesamt,2004,200403,3271,3060,19.9,6.9,3209
1690,Verkehrsunfälle,insgesamt,2004,200404,3183,3106,-2.69,2.48,3215
1691,Verkehrsunfälle,insgesamt,2004,200405,3378,3255,6.13,3.78,3225
1692,Verkehrsunfälle,insgesamt,2004,200406,3229,3139,-4.41,2.87,3233
1693,Verkehrsunfälle,insgesamt,2004,200407,3760,3321,16.44,13.22,3269
1694,Verkehrsunfälle,insgesamt,2004,200408,2926,2837,-22.18,3.14,3277
1695,Verkehrsunfälle,insgesamt,2004,200409,3663,3393,25.19,7.96,3299
1696,Verkehrsunfälle,insgesamt,2004,200410,3716,3631,1.45,2.34,3306
1697,Verkehrsunfälle,insgesamt,2004,200411,3449,3325,-7.19,3.73,3317
1698,Verkehrsunfälle,insgesamt,2004,200412,3792,3527,9.94,7.51,3339
1699,Verkehrsunfälle,insgesamt,2003,Summe,38635,40608,NA,-4.86,NA
1700,Verkehrsunfälle,insgesamt,2003,200301,3073,3063,1.65,0.33,3385
1701,Verkehrsunfälle,insgesamt,2003,200302,2968,2892,-3.42,2.63,3391
1702,Verkehrsunfälle,insgesamt,2003,200303,3060,3380,3.1,-9.47,3365
1703,Verkehrsunfälle,insgesamt,2003,200304,3106,3142,1.5,-1.15,3362
1704,Verkehrsunfälle,insgesamt,2003,200305,3255,3731,4.8,-12.76,3322
1705,Verkehrsunfälle,insgesamt,2003,200306,3139,3586,-3.56,-12.47,3285
1706,Verkehrsunfälle,insgesamt,2003,200307,3321,3960,5.8,-16.14,3231
1707,Verkehrsunfälle,insgesamt,2003,200308,2837,3007,-14.57,-5.65,3217
1708,Verkehrsunfälle,insgesamt,2003,200309,3393,3436,19.6,-1.25,3214
1709,Verkehrsunfälle,insgesamt,2003,200310,3631,3859,7.01,-5.91,3195
1710,Verkehrsunfälle,insgesamt,2003,200311,3325,3529,-8.43,-5.78,3178
1711,Verkehrsunfälle,insgesamt,2003,200312,3527,3023,6.08,16.67,3220
1712,Verkehrsunfälle,insgesamt,2002,Summe,40608,45713,NA,-11.17,NA
1713,Verkehrsunfälle,insgesamt,2002,200201,3063,3348,-23.21,-8.51,3786
1714,Verkehrsunfälle,insgesamt,2002,200202,2892,3148,-5.58,-8.13,3764
1715,Verkehrsunfälle,insgesamt,2002,200203,3380,3970,16.87,-14.86,3715
1716,Verkehrsunfälle,insgesamt,2002,200204,3142,3565,-7.04,-11.87,3680
1717,Verkehrsunfälle,insgesamt,2002,200205,3731,4128,18.75,-9.62,3647
1718,Verkehrsunfälle,insgesamt,2002,200206,3586,3715,-3.89,-3.47,3636
1719,Verkehrsunfälle,insgesamt,2002,200207,3960,4288,10.43,-7.65,3609
1720,Verkehrsunfälle,insgesamt,2002,200208,3007,3351,-24.07,-10.27,3580
1721,Verkehrsunfälle,insgesamt,2002,200209,3436,3939,14.27,-12.77,3538
1722,Verkehrsunfälle,insgesamt,2002,200210,3859,4250,12.31,-9.2,3506
1723,Verkehrsunfälle,insgesamt,2002,200211,3529,4022,-8.55,-12.26,3465
1724,Verkehrsunfälle,insgesamt,2002,200212,3023,3989,-14.34,-24.22,3384
1725,Verkehrsunfälle,insgesamt,2001,Summe,45713,44494,NA,2.74,NA
1726,Verkehrsunfälle,insgesamt,2001,200101,3348,3448,-11.64,-2.9,3700
1727,Verkehrsunfälle,insgesamt,2001,200102,3148,3181,-5.97,-1.04,3697
1728,Verkehrsunfälle,insgesamt,2001,200103,3970,3783,26.11,4.94,3712
1729,Verkehrsunfälle,insgesamt,2001,200104,3565,3317,-10.2,7.48,3733
1730,Verkehrsunfälle,insgesamt,2001,200105,4128,4123,15.79,0.12,3733
1731,Verkehrsunfälle,insgesamt,2001,200106,3715,3329,-10,11.6,3766
1732,Verkehrsunfälle,insgesamt,2001,200107,4288,4282,15.42,0.14,3766
1733,Verkehrsunfälle,insgesamt,2001,200108,3351,3387,-21.85,-1.06,3763
1734,Verkehrsunfälle,insgesamt,2001,200109,3939,3807,17.55,3.47,3774
1735,Verkehrsunfälle,insgesamt,2001,200110,4250,4117,7.9,3.23,3785
1736,Verkehrsunfälle,insgesamt,2001,200111,4022,3931,-5.36,2.31,3793
1737,Verkehrsunfälle,insgesamt,2001,200112,3989,3789,-0.82,5.28,3809
1738,Verkehrsunfälle,insgesamt,2000,Summe,44494,NA,NA,NA,NA
1739,Verkehrsunfälle,insgesamt,2000,200001,3448,NA,NA,NA,3448
1740,Verkehrsunfälle,insgesamt,2000,200002,3181,NA,-7.74,NA,3315
1741,Verkehrsunfälle,insgesamt,2000,200003,3783,NA,18.92,NA,3471
1742,Verkehrsunfälle,insgesamt,2000,200004,3317,NA,-12.32,NA,3432
1743,Verkehrsunfälle,insgesamt,2000,200005,4123,NA,24.3,NA,3570
1744,Verkehrsunfälle,insgesamt,2000,200006,3329,NA,-19.26,NA,3530
1745,Verkehrsunfälle,insgesamt,2000,200007,4282,NA,28.63,NA,3638
1746,Verkehrsunfälle,insgesamt,2000,200008,3387,NA,-20.9,NA,3606
1747,Verkehrsunfälle,insgesamt,2000,200009,3807,NA,12.4,NA,3629
1748,Verkehrsunfälle,insgesamt,2000,200010,4117,NA,8.14,NA,3677
1749,Verkehrsunfälle,insgesamt,2000,200011,3931,NA,-4.52,NA,3700
1750,Verkehrsunfälle,insgesamt,2000,200012,3789,NA,-3.61,NA,3708
1751,Verkehrsunfälle,mit Personenschäden,2026,202601,NA,267,NA,NA,NA
1752,Verkehrsunfälle,mit Personenschäden,2026,202602,NA,288,NA,NA,NA
1753,Verkehrsunfälle,mit Personenschäden,2026,202603,NA,368,NA,NA,NA
1754,Verkehrsunfälle,mit Personenschäden,2026,202604,NA,488,NA,NA,NA
1755,Verkehrsunfälle,mit Personenschäden,2026,202605,NA,573,NA,NA,NA
1756,Verkehrsunfälle,mit Personenschäden,2026,202606,NA,579,NA,NA,NA
1757,Verkehrsunfälle,mit Personenschäden,2026,202607,NA,695,NA,NA,NA
